SupplierID,FirstName,LastName,ContactPhone,Company,ContactEmail,Address,City,StateProvince,Country,PostalCode
ARBORHARVEST,James,Krenoff,555-394-1212,Arbor Harvest Lumber Inc.,krenoff@arbharvlum.com,555 Skunk Hollow Road,Holsopple,PA,USA,15935
ARTURO,Art,Nuvo,555-323-4332,Arturo's Millworks,arturo@arturosmillworks.com,1 Rue du Bois,Beresford,NB,Canada,E8K 2B9
FRYDD,Tog,Frydd,555-765-2323,Frydd's Millworks,tog@fryddmills.com,231A Commerce Park,Waterloo,ON,Canada,N2V 1V9
GREENE,Charlie,Greene,555-637-4976,Greene's Lumber Mill,greenie@greeneslumbermill.com,1776 Heritage Road,Chapel Hill,NC,USA,27514
HUBBARD,Albert,Hubbard,555-494-2700,Hubbard's Sawmill,orders@hubsawmill32.com,56 Main Street,Java,NY,USA,14082
KER,Robert,Farney,555-232-1221,T.L. Kerr,farneyr@tlkerretailwholesale.com,32422 Avenue of Commerce,Clarendon,NY,USA,14429
LIMBERT,Timothy,Barnosky,555-232-4455,Limbert Lumber,barney@limbertlumber.biz,4353 Sam Gonsalez Road,Bloomingburg,NY,USA,12721
MALOOF,Lin,Bachmann,555-212-1228,Maloof Lumber and Caseworks,lbachmann@MaloofLumberCaseworks.com,34 Gallows Hill Road,Walker Valley,NY,USA,12588
MATELA,Henry,Maudsley,555-232-2223,Matela Wholesale Supply,hank@matelawholesalesinc.com,2700 Lackawanna Road,Mount Morris,NY,USA,14510
MORRIS,Bill,Morris,555-980-1201,Wm Morris Sawmill,boss@theoldmorrismill.com,7311 Fourth Section Road,Fox's Corners,ON,Canada,K9V 4R3
NAKASHIMA,Jorge,Nakashima,555-604-2332,Nakashima Recycled Hardwoods,Nak57@recycledhw57.com,83453 County Road 44,St. Jacobs,ON,Canada,N0B 2N0
NORMS,Norman,Abraham,555-444-1221,Norm's Hardwoods,norm@normswoodbiz.biz,321 Lumber Mountain Road,Otisville,NY,USA,10963
PUGG,Jenny,Lind,555-098-9645,O.G. Pugg Machine Supply,jennifer.lind@ogpugg.com,323 Muskrat Alley,Burlington,VT,USA,05452
STICKSAW,Gertrude,Stickley,555-030-5443,Stickley Sawmill,gertie@stickleysellswood.com,14 Stickley Woods Trail,Wurtsboro,NY,USA,12790
UNDERHILL,Roylene,Underhill,555-266-1224,Underhill Lumber,roy@lumbersellersofpa.biz,9009 Canal Street,Hooversville,PA,USA,15936
VOISEY,Aaron,Claypoole,555-445-6544,Voisey Lumber Works,a-ron@voiseylumbermill.com,33023 Jolly Road,Watkins Glen,NY,USA,14818
WOODSTOCK,James,Hendricks,555-324-1321,Woodstock Wholesale,henj@woodstockwholesale.com,54312 Festival Road,Woodstock,NY,USA,12498
WRIGHT,Frank,Wright,555-333-5551,Frank Wright Hardwoods,frank@wrightwoods.biz,349 Maynard Street,Brockport,NY,USA,14420
